WE|ACTV|CROP 北方地区要抓住晴好天气完成秋收扫尾工作，做好粮食通风晾晒储藏工作，防止发芽霉变
CROP 全国春玉米一、二类苗比例分别为32%和67%，一类苗较上周增加2%，二类苗减少1%
CROP 黑龙江、辽宁、内蒙古、甘肃、河北一类苗比例高于上年和近五年同期，宁夏高于上年同期与近五年同期持平，山西与上年同期持平高于近五年同期，吉林低于上年同期和近五年同期（图6）
ENV 三、土壤墒情分析本周，全国主要农区20厘米土壤缺墒站点百分比较上周减少2.9%，较上年同期多4.7%（表2），缺墒地区主要位于内蒙古中西部、陕西中部和北部、山西中北部和西南部、河北西部等地（图7）
ENV 土壤过湿站点百分比较上周增加2.5%，比上年同期少2.2%，过湿区主要位于四川盆地至湖北西部、湘中南和赣南、广东、贵州南部、广西西部和云南中部等地
ENV 墒情适宜站点百分比较上周增加0.3%，较上年同期少2.5%
WE 黑龙江西部、吉林中部、辽宁南部等地出现大到暴雨，局地伴有大风、冰雹等强对流天气，造成低洼农田积水，农作物受损
WE 江汉西部、江淮西部等地部分地区出现强降水，导致部分地势低洼田块出现内涝
WE 五、主要农业气象灾害监测与影响评估暴雨洪涝：13日以来，湖南、广东、广西部分地区出现强降雨，引发洪涝灾害，造成玉米、水稻、甘蔗等农作物受灾
WE 17日至19日晨，陕西东南部出现区域性暴雨或大暴雨，降水量超过100毫米，引发洪涝、滑坡等灾害，导致农作物受灾
WE 风雹：周内，黑龙江哈尔滨和绥化、辽宁丹东和朝阳、山东烟台、内蒙古赤峰和包头局部出现大风、冰雹等强对流天气，造成苹果、梨、西瓜、蔬菜、花生、小麦、玉米等农作物受灾
WE 但西北地区东南部、黄淮、江淮等地部分地区有大到暴雨、局地大暴雨，并伴有短时强降水和雷暴大风等强对流天气，易造成农田积涝
ACTV 七、农业生产建议华北、西北地区东部等未收麦区密切关注天气变化，抓住晴好天气及时收获成熟冬小麦，并做好晾晒、储藏工作
ACTV 已收地区及时腾茬整地，播种夏玉米、夏大豆、马铃薯等作物
ACTV 已播地区注意及时查苗、补苗，确保苗齐、苗壮
WE 西北地区东南部、四川盆地、黄淮、江淮、江汉等地有强降水，易造成低洼农田积涝
WE 一、主要天气特点本周，东北地区北部、新疆南疆大部、广西中部等地气温偏低1～3℃，全国其余大部地区气温接近常年或偏高1～3℃（图1）
WE 江南南部、华南、西南地区、西北地区东部、黄淮东部、华北南部、东北地区中北部和内蒙古东北部等地出现25～180毫米降水（图2）
WE 上述大部地区降水量接近常年或偏多3成至2倍
WE 西南地区大部、华南西部、西北地区东南部等地日照偏少2～8成，江淮、江汉东部、江南中东部偏多3成至1倍，全国其余大部日照接近常年（图3）
CROP 图1平均气温距平二、作物生长发育状况本周，甘肃、新疆冬小麦处于乳熟至成熟收获期
CROP 江南和华南大部早稻处于抽穗开花至灌浆乳熟阶段
CROP 东北地区一季稻处于分蘖期，长江中下游大部处于移栽至返青分蘖期，西南地区大部处于分蘖拔节期，局部进入孕穗抽穗期
CROP 东北地区大部、内蒙古、河北北部、山西、西北地区大部春玉米处于七叶至拔节期，西南地区东部处于拔节至吐丝阶段，广西大部处于乳熟期
CROP 黑龙江、内蒙古、甘肃、宁夏、新疆、青海等地春小麦处于孕穗至抽穗开花阶段，其中内蒙古、宁夏和甘肃沿黄河地区、新疆局部进入乳熟阶段
CROP 新疆、黄河流域、长江中下游地区棉花大部处于第五真叶至现蕾期，华北南部、新疆南疆西部等地已开花
CROP 东北地区大豆处于第三真叶至分枝期，华北、黄淮处于播种出苗至第三真叶期，西北地区东部处于分枝期，江南处于鼓粒期
CROP 西北地区东部、华北北部、内蒙古、黑龙江马铃薯处于出苗分枝期，部分处于花序形成至开花期
CROP 西南地区大部处于开花期
CROP 华北、黄淮、江汉、江南、华南大部花生处于开花下针期
CROP 全国早稻一、二类苗比例分别为23%和77%，与上周相比一类苗比例增加5%，二类苗减少5%
CROP 各主产省中，福建一类苗低于上年和近五年同期，湖南高于上年同期低于近五年同期，广东高于上年和近五年同期，广西与上年同期持平低于近五年同期，江西本周无一类苗（图4）
CROP 全国一季稻一、二类苗比例分别为30%和70%，与上周持平
CROP 辽宁一类苗与上年同期持平高于近五年同期，黑龙江高于上年同期与近五年同期持平，吉林、湖北高于上年同期低于近五年同期，浙江、江苏、贵州高于上年和近五年同期，安徽、云南本周无一类苗（图5）
CROP 全国春玉米一、二类苗比例分别为35%和64%，一类苗较上周增加3%，二类苗减少3%
CROP 黑龙江、辽宁、内蒙古一类苗比例高于上年和近五年同期，吉林与上年同期持平高于近五年同期，甘肃、山西、河北、宁夏低于上年和近五年同期（图6）
ENV 三、土壤墒情分析本周，全国主要农区20厘米土壤缺墒站点百分比较上周减少4.7%，较上年同期多1.2%（表2），缺墒地区主要位于内蒙古中西部、陕西北部、山西中北部、河北西部和东南部等地（图7）
ENV 土壤过湿站点百分比较上周增加4.7%，比上年同期多0.8%，过湿区主要位于四川盆地至湖北西部、湖南中南部、江西南部、广东、广西西部、贵州南部和云南中南部等地
ENV 墒情适宜站点百分比较上周增加0.1%，较上年同期少2.0%
WE 25-27日，山东大部出现强降水过程，中北部降水量有100～200毫米，部分低洼田块玉米、棉花、大豆等受灾
WE 江淮南部、江汉东部和西部出现较强降水，部分地区土壤过湿，出现渍涝害
WE 贵州南部、四川盆地西部和云南东部等地出现大到暴雨、局地大暴雨，造成玉米、水稻、烤烟等作物受灾
WE 五、主要农业气象灾害监测与影响评估暴雨洪涝：25日以来，四川盆地西部、云南、广西等地部分地区出现持续强降雨，部分地区出现大到暴雨、局地大暴雨
WE 强降雨导致多地遭受洪涝、滑坡等灾害，造成玉米、水稻、烤烟等作物受灾
WE 25-27日，西北地区东部、山东大部出现强降雨天气过程，引发洪涝灾害，导致部分地区玉米、棉花、大豆、花生、大姜、黄烟、西瓜、桃、猕猴桃等农作物受灾
WE 风雹：22-23日，新疆伊犁、阿克苏等地出现冰雹、短时强降雨等强对流天气，造成小麦、油菜、蚕豆、马铃薯、甜菜、果树等农作物受灾
WE 部分地区有大到暴雨、局地大暴雨，易造成农田积涝
ACTV 七、农业生产建议西北地区东部等未收麦区抓住晴好天气及时收晒成熟冬小麦
ACTV 夏播未完成区及时腾茬整地，趁墒适时播种玉米、大豆等夏播作物
ACTV 已播地区及时査苗补种
ACTV 南方地区积极做好秋收作物苗期管理，适时中耕除草
ACTV 四川盆地、江淮、江汉等地需提前疏通沟渠，排除田间积水
CROP 同时，各地要加强病虫害监测防治，促进作物稳健生长和产量提高
WE 江淮、江汉、江南北部、四川盆地、西北地区东南部等地多雨寡照，部分地区出现暴雨洪涝，玉米、大豆等作物受灾
WE 但东北地区南部、华北南部、黄淮东部、西北地区东南部、西南地区等地有较强降水过程，易造成部分低洼农田出现渍涝害
WE 一、主要天气特点本周，全国大部农区气温接近常年或偏高1～2℃，其中吉林西部、辽宁北部、内蒙古东部、河北中部、湖南东南部、贵州中西部等地偏高2～4℃（图1）
WE 河北中南部、江南南部以及华南中部和西南部出现3～6天日最高气温≥35℃的高温天气
WE 内蒙古东北部、东北地区北部和东南部、西北地区东部、江淮、江汉、江南北部、华南东部和西南地区北部等地降水量有25～200毫米（图2），大部降水接近常年或偏多3成至2倍
WE 东北地区北部、西北地区大部、江淮、江汉、江南东北部、四川盆地和云南中西部等地日照偏少2～8成，东北地区中南部、华北东南部、黄淮东北部、江南南部和华南中南部偏多3～8成，其余大部接近常年（图3）
CROP 图1平均气温距平二、作物生长发育状况本周，江南和华南大部早稻处于抽穗开花至灌浆乳熟阶段，广东东部和南部、广西中部部分地区进入成熟阶段
CROP 全国一、二类苗比例分别为22%和78%，一类苗比例较上周减少1%，二类苗增加1%
 各主产省中，福建、广东、广西一类苗高于上年和近五年同期
CROP 东北地区一季稻处于分蘖期，局部进入拔节期
CROP 长江中下游大部处于返青分蘖期，西南地区大部处于分蘖拔节期，四川盆地东部和南部、云南南部部分进入孕穗抽穗期
CROP 全国一、二类苗比例分别为28%和71%，一类苗比例较上周减少2%，二类苗增加1%
 其中，江苏、湖北一类苗比例高于上年和近五年同期，吉林、辽宁、安徽、贵州低于上年和近五年同期
CROP 东北地区、内蒙古、河北北部、山西、西北地区大部春玉米处于七叶至拔节期，部分进入开花吐丝阶段
CROP 西南地区东部处于吐丝至乳熟阶段，广西大部处于乳熟至成熟期
CROP 全国一、二类苗比例分别为31%、68%，一类苗较上周减少4%，二类苗增加4%
 其中，辽宁、河北一类苗比例高于上年和近五年同期，山西、甘肃低于上年和近五年同期
CROP 西北地区、华北、黄淮夏玉米处于三叶至七叶期，部分地区仍处于播种出苗期
CROP 西南地区大部处于拔节至开花吐丝期
CROP 黑龙江、内蒙古、甘肃、宁夏、新疆、青海等地大部春小麦处于抽穗开花至乳熟阶段
CROP 黄河流域、长江中下游地区棉花大部处于第五真叶至现蕾期，华北南部、新疆大部已开花
CROP 东北地区大豆处于第三真叶至分枝开花期，华北、黄淮处于播种出苗至第三真叶期，西北地区东部处于分枝期，江南处于鼓粒期
CROP 西北地区东部、华北北部、内蒙古、黑龙江马铃薯处于分枝至开花期
CROP 西南地区大部处于开花至可收期
CROP 华北、黄淮、江汉、江南、华南大部花生处于开花下针期，广东局地进入成熟阶段
ENV 三、土壤墒情分析本周，全国主要农区20厘米土壤缺墒站点百分比较上周减少1.0%，较上年同期少4.1%（表1），缺墒地区主要位于内蒙古中西部、陕西北部、山西中北部、河北西部和东南部等地（图4）
ENV 土壤过湿站点百分比较上周增加1.2%，较上年同期多4.9%，过湿区主要位于四川盆地、湖北西部、湖南、江西南部、广东、广西西部、云南东部和西南部等地
ENV 墒情适宜站点百分比较上周减少0.2%，较上年同期少0.8%
WE 且甘肃东部、陕西南部、宁夏中南部等地出现大到暴雨，部分低洼田块玉米、大豆等作物受灾
WE 但浙江中部、江西东北部、湖南北部等地强降水导致作物受淹
WE 五、主要农业气象灾害监测与影响评估暴雨洪涝：6月29日至7月1日，湖南北部、湖北南部和东部、江西中北部、安徽南部、江苏中南部、浙江、福建东部和北部等地部分地区出现暴雨或大暴雨，局地伴有大风、冰雹等强对流天气，导致部分水稻、西瓜、玉米、花生、蔬菜、竹林、葡萄、烟叶等农作物受淹、倒伏
WE 7月1-3日，四川盆地、陕甘宁和新疆等地部分地区出现强降雨，引发洪涝灾害，造成玉米、大豆、马铃薯、猕猴桃、柑橘、茶叶、葡萄等农作物受灾
WE 但东北地区南部、华北南部、黄淮东部、西北地区东南部以及西南地区、江南西南部等地的部分地区有强降水，易造成低洼农田出现渍涝害
ACTV 七、农业生产建议西北地区东南部注意抓住降水间隙及时收晒冬小麦
ACTV 同时，做好晚稻育秧工作，合理排灌，防涝、防高温危害
CROP 其中，黑龙江东部、吉林东北部阶段性低温不利一季稻分蘖、春玉米雌穗分化
WE 华北西部、西北地区东南部、苏皖北部和中部、湖北东北部及四川盆地西部等地出现较强降水，部分在地作物被淹、大棚和养殖池塘被毁
WE 受第8号台风“玛莉亚”影响，闽浙赣部分地区出现大雨或暴雨，局地稻田受淹，设施农业和水产养殖受灾
WE 一、主要天气特点本周，黑龙江大部、吉林东北部、辽宁东部、山西西部、陕西中部、甘肃东部、黄淮南部等地气温较常年同期偏低1～4℃，全国其余大部地区气温接近常年或偏高（图1）
WE 全国大部农区出现明显降水，内蒙古东部、黑龙江西北部、吉林西部和东南部、辽宁东部、河北西部和北部、山西、陕西北部和西部、甘肃东部、西南地区大部、江汉大部、黄淮南部、江淮、江南南部和东部、华南大部降水量有25～200毫米（图2），大部地区较常年同期偏多3成至2倍
 全国大部农区日照时数接近常年或偏少，其中东北地区中南部、华北大部、西北地区东部、四川盆地和云南西部、江汉、黄淮南部、江淮大部、江南西部等地日照偏少3～8成（图3）
CROP 图1平均气温距平二、作物生长发育状况本周，江南和华南大部早稻处于灌浆乳熟阶段，部分地区已成熟收获，一、二类苗比例分别为17%和83%
CROP 东北地区、长江中下游大部一季稻处于分蘖拔节期
CROP 西南地区大部处于拔节至抽穗期，云南和贵州部分地区仍处于分蘖期
CROP 全国一、二类苗比例分别为27%和71%，一类苗比例较上周减少1%，二类苗与上周持平
CROP 其中，各主产省中黑龙江、湖北和福建一类苗比例高于上年和近五年同期，浙江和云南低于上年和近五年同期
CROP 东北地区、内蒙古、河北北部、山西大部春玉米处于拔节抽雄期，部分进入开花吐丝阶段
CROP 西北地区大部处于抽雄至开花吐丝期
CROP 西南地区东部处于吐丝至乳熟期，广西大部处于乳熟至成熟期
CROP 全国一、二类苗比例分别为31%、67%，一类苗与上周持平，二类苗减少1%
 其中，黑龙江、辽宁、甘肃、宁夏一类苗比例高于上年和近五年同期，吉林低于上年和近五年同期
CROP 西北地区、华北、黄淮夏玉米处于七叶至拔节期，部分地区仍处于三叶期
CROP 西南地区大部处于拔节至开花吐丝期
CROP 黑龙江、内蒙古、甘肃、宁夏、新疆、青海等地大部春小麦处于抽穗开花至乳熟阶段，内蒙古、宁夏部分地区进入成熟期
CROP 黄河流域、长江中下游地区棉花大部处于现蕾开花期，新疆大部处于开花期
CROP 东北地区大豆处于分枝开花期，部分仍处于第三真叶期
CROP 华北、黄淮处于播种出苗至第三真叶期，西北地区东部处于分枝开花期，江南处于成熟期
CROP 西北地区东部、华北北部、内蒙古、黑龙江马铃薯处于分枝至开花期
ACTV 西南地区大部已收获
CROP 华北、黄淮、江汉、江南、华南大部花生处于开花下针期，广东大部成熟收获
CROP 江南、华南晚稻大部处于出苗至三叶期，全国一类苗比例为18%，福建、广西、海南一类苗比例高于上年和近五年同期
ENV 三、土壤墒情分析本周，全国主要农区20厘米土壤缺墒站点百分比较上周减少5.7%，较上年同期少3.1%（表1），缺墒地区主要位于内蒙古中西部、河北南部等地（图4）
ENV 土壤过湿站点百分比较上周增加5.6%，较上年同期多6.3%，过湿区主要位于甘肃东部、陕西中南部、山西东部和南部、四川盆地、湖北西部、安徽中北部、湖南、江西南部、广东、广西西部、云南大部等地
ENV 墒情适宜站点百分比较上周增加0.1%，较上年同期少3.2%
WE 西北、华北、黄淮:大部气温正常或偏低1～2℃
WE 江淮、江汉：大部气温接近常年，降水量普遍有25～200毫米，光照正常或偏少3～8成，安徽中部和东南部、江苏西部、湖北东北部雨日多、雨强较大，部分地区出现洪涝灾害，在地作物被淹、大棚和养殖池塘被毁
WE 但受今年第8号台风“玛莉亚”影响，福建中北部、浙江南部、江西中南部等地出现大雨或暴雨，福建北部、浙江东南部、江西中部等地部分地区有大暴雨，部分稻田受淹、倒伏，塑料大棚被掀翻、棚内蔬菜和瓜果受灾
WE 西南：四川盆地大部气温正常略偏低
WE 雨日有3～6天，光照偏少5～9成
WE 出现连续较强降雨过程，盆地中西部雨量达100～250毫米，偏多1～4倍，部分农田出现严重积涝，且多雨寡照导致水稻病虫害发生发展
WE 五、主要农业气象灾害监测与影响评估暴雨洪涝和台风：7-11日、四川、重庆、陕西、甘肃、宁夏等地出现连续较强降水过程，多地遭受洪涝灾害（图5）
 其中四川成都、广元、绵阳、资阳、德阳等地农田、果园被淹，部分水稻、西瓜、玉米、花生、蔬菜、烟叶等农作物受灾
 图5四川广元大棚（左）和重庆合川农田（右）被淹受今年第8号台风“玛莉亚”影响，福建、浙江、江西等地遭受狂风暴雨袭击，稻田被淹，成熟的葡萄、西瓜等被毁，部分养殖池塘也遭受损失
WE 六、未来一周天气及关注重点预计未来一周，四川盆地西部、西北地区东部、华北、东北及华南等地多降雨
WE 预计未来一周，黄淮、江淮、江汉、江南、四川盆地东部等地多高温天气，最高气温35℃以上的日数可达4～7天，部分地区最高气温可达38～40℃
WE 受台风“山神”影响，华南南部部分地区出现大到暴雨，农业生产受损
WE 受台风“安比”影响，22-25日华东、华北东部及东北地区南部等地将出现大到暴雨、局地大暴雨，需防范农田渍涝
WE 一、主要天气特点本周，全国大部地区气温接近常年或偏高1～2℃，其中，黑龙江东南部、吉林、内蒙古东南部和西部、山东、河南中东部、陕西东南部、甘肃中西部、江苏、安徽、重庆等地偏高2～4℃（图1）
WE 东北地区大部、内蒙古东北部和中部、华北、黄淮北部、陕西北部、甘肃陇东、江西中部、湖南东部、广东、广西中南部、海南、四川中西部、云南北部和西部等地降水量有25～250毫米（图2），上述大部地区降水量较常年同期偏多3成至2倍
 全国大部农区日照时数接近常年或偏多，其中黄淮大部、江淮、江汉、西南地区东部和南部等地偏多3成至2倍，东北地区大部、华北东部、华南南部等地偏少3～8成（图3）
CROP 东北地区、长江中下游大部一季稻处于分蘖拔节期，部分进入孕穗期
CROP 西南地区大部处于拔节至抽穗期
CROP 全国一、二类苗比例分别为36%和63%，一类苗比例较上周增加9%，二类苗减少8%
CROP 各主产省中，黑龙江和浙江一类苗比例高于上年和近五年同期，福建低于上年和近五年同期
CROP 东北地区、内蒙古、河北北部、山西大部春玉米处于拔节至吐丝期
 西北地区大部处于吐丝期
CROP 西南地区大部处于吐丝乳熟期，广西、江西大部处于成熟收获期
CROP 全国一、二类苗比例分别为31%、67%，与上周持平
 辽宁和内蒙古一类苗比例高于上年和近五年同期，甘肃和宁夏低于上年和近五年同期
CROP 西北地区、华北、黄淮大部夏玉米处于七叶至拔节期
CROP 西南地区大部处于拔节至开花吐丝期
CROP 夏玉米一、二类苗的比例分别为22%、77%
CROP 黑龙江、内蒙古、甘肃、宁夏、新疆、青海等地大部春小麦处于开花至乳熟阶段，内蒙古、宁夏、甘肃、新疆部分地区进入成熟收获期
CROP 黄河流域、长江中下游地区棉花大部处于开花期，新疆大部处于开花盛期
CROP 东北地区大豆处于分枝至开花结荚期
CROP 华北、黄淮处于第三真叶至分枝期，西北地区东部处于第三真叶至开花期，新疆处于结荚期，江南地区大部已收获
CROP 西北地区东部、华北北部、内蒙古、黑龙江大部地区马铃薯处于开花期
CROP 华北、黄淮、江汉、江南、华南大部花生处于下针期
CROP 江南、华南晚稻大部处于播种出苗至移栽期
CROP 全国一、二类苗的比例为16%、84%
CROP 福建、海南一类苗比例高于上年和近五年同期
ENV 三、土壤墒情分析本周，全国主要农区20厘米土壤缺墒站点百分比较上周增加0.8%，较上年同期少6.6%（表1），缺墒地区主要位于内蒙古中西部和东南部、安徽南部等地（图4）
ENV 土壤过湿站点百分比较上周减少4.2%，较上年同期多5.8%，过湿区主要位于黑龙江东部、吉林东南部、甘肃东部、陕西中部和西南部、山西西部、北京、天津、河北北部、河南西部、四川盆地西部、湖南中南部、江西南部、广东、广西西部、海南、云南大部等地
ENV 墒情适宜站点百分比较上周增加3.4%，较上年同期多0.8%
WE 但大部降雨日数有3～6天，吉林和辽宁已连续2周日平均日照时数不足4小时，为1981年以来最低
WE 五、主要农业气象灾害监测与影响评估暴雨洪涝和大风冰雹：周内，黑龙江、吉林、内蒙古、北京、河北、山西、陕西、甘肃、四川、云南等省部分地区出现大到暴雨、局地大暴雨，并伴有大风、冰雹等强对流天气，低洼地区出现积涝，导致水稻、玉米、大豆等农作物受淹、倒伏
ACTV 江南和华南稻区注意及时收割、晾晒成熟早稻，并适时移栽晚稻、加强秧苗管理
ACTV 同时，江南东部、江淮、黄淮东部等地要做好台风的防范工作
WE 但受第10号台风“安比”和季风低压影响，沪苏鲁、京津冀及桂粤琼等省部分地区出现大到暴雨、局地大暴雨，部分农田被淹，水稻、玉米、大豆等农作物受灾
 此外，黑龙江东部稻瘟病发生发展气象等级较高，各地需密切监测加强防治
WE 一、主要天气特点本周，全国大部农区气温接近常年或偏高1～4℃，其中黑龙江东南部、吉林中东部、山东西部、河南中东部、重庆、新疆南疆等地偏高4～6℃（图1）
WE 黄淮中西部、江汉、江淮西部、江南大部、四川盆地东部等地出现了5～7天日最高气温≥35℃的高温天气（图2）
WE 内蒙古大部、东北地区北部、陕西北部、甘肃中部、青海东部、川西高原和盆地西部、云南大部、华南中西部及河北东部和北部、山东东部、浙江东北部、江苏沿海地区等地降水量有25～250毫米，大部地区降水量较常年同期偏多3成至2倍（图3）
WE 东北地区东南部、华北南部、陕西中南部、黄淮、江汉、江淮、江南和西南地区大部地区日照时数偏多3成至1倍
 黑龙江大部、吉林西部、内蒙古中部、河北北部、广西南部、广东西南部和海南等地偏少3～8成（图4）
CROP 图1平均气温距平二、作物生长发育状况本周，东北地区大部一季稻处于拔节孕穗期
CROP 长江中下游大部处于分蘖拔节期，部分进入孕穗期
CROP 西南地区大部处于孕穗至抽穗期，部分仍处于拔节期
CROP 全国一、二类苗比例分别为35%和65%，一类苗比例较上周减少1%，二类苗增加2%
 各主产省中，黑龙江、河北和贵州一类苗比例高于上年和近五年同期，安徽低于上年和近五年同期
CROP 东北地区、内蒙古、河北北部、山西大部春玉米处于拔节至吐丝期
 西北地区大部处于吐丝期
CROP 西南地区大部处于吐丝乳熟期
CROP 全国一、二类苗比例分别为35%、65%，一类苗比例较上周增加4%，二类苗减少2%
 吉林、甘肃和内蒙古一类苗比例高于上年和近五年同期，山西和宁夏低于上年和近五年同期
CROP 西北地区、华北、黄淮东部夏玉米处于七叶至拔节期
CROP 黄淮西部处于拔节至吐丝期
CROP 西南地区大部处于开花吐丝期，局地乳熟
CROP 夏玉米一、二类苗的比例分别为27%、72%
CROP 黑龙江、内蒙古、甘肃、宁夏、新疆、青海等地大部春小麦处于开花至乳熟阶段，部分地区处于成熟收获期
CROP 黄河流域、长江中下游地区棉花大部处于开花至开花盛期，新疆大部处于开花盛期，局地吐絮
CROP 东北地区大豆处于分枝至开花结荚期
CROP 华北、黄淮处于第三真叶至分枝期，西北地区东部处于第三真叶至开花期，新疆处于结荚期
CROP 西北地区东部、华北北部、内蒙古、黑龙江大部马铃薯处于开花期，部分地区仍处于花序形成期，局地可收
CROP 华北、黄淮、江汉、江南大部花生处于下针期，华南处于成熟期
CROP 江南晚稻大部处于出苗至返青期
CROP 华南处于播种出苗至三叶期
CROP 全国一、二类苗的比例为16%、84%，与上周持平
ENV 三、土壤墒情分析本周，全国主要农区20厘米土壤缺墒站点百分比较上周增加9.4%，较上年同期增加0.2%（表1），缺墒地区主要位于安徽大部、重庆大部、贵州西北部、江西中部和陕西东南部等地的部分地区（图5）
ENV 土壤过湿站点百分比较上周减少7.8%，较上年同期多2.3%，过湿区主要位于黑龙江东部、吉林西部、甘肃东部和南部、陕西西南部、北京、天津、河北东部、湖南东南部、江西西南部、云南南部、广西西部、广东、海南等地
ENV 墒情适宜站点百分比较上周减少1.6%，较上年同期多0.2%
WE 22日，江苏东部、浙江东北部受第10号台风“安比”带来的狂风暴雨影响，玉米出现倒伏、部分果树枝干折断、农田被淹
WE 西南：周内，四川盆地东部出现了5～7天日最高气温≥35℃的高温天气，一季稻遭受轻至中度热害
WE 五、主要农业气象灾害监测与影响评估暴雨洪涝和台风：受第10号台风“安比”影响，浙沪苏鲁京津冀黑吉等12个省（区、市）出现暴雨或大暴雨天气，部分地区伴有7～9级大风，导致局地农田被淹，水稻、玉米、大豆等农作物受灾（图6）
WE 图7云南玉溪烤烟（左）和贵州黔东南州玉米（右）受灾六、未来一周天气及关注重点预计未来一周，四川盆地东部、江南、江汉、江淮、黄淮、华北、东北地区中南部及陕西等地仍多高温天气，高温日数有4～6天
WE 大部地区最高气温在35～37℃，部分可达38～40℃
 此外，黑龙江东部稻瘟病发生发展气象等级较高，各地需密切监测加强防治（图8）
ACTV 稻田注意采取以水调温、喷施叶面肥等措施减轻高温危害
WE 辽宁中北部等地降水偏少且多高温天气，部分地区出现农业干旱
WE 预计未来一周，8月3-5日，辽宁中北部仍高温无雨，部分地区墒情偏差
WE 7-10日南方大部将持续高温
WE 一、主要天气特点本周，全国大部农区气温接近常年或偏高1～2℃，其中黑龙江东南部、吉林、辽宁、内蒙古大部、河北大部、京津、山西北部、陕西北部、甘肃中东部、宁夏、青海大部、贵州北部等地偏高2～6℃（图1），南疆大部、广东西部、广西中南部和海南南部等地偏低1～4℃
WE 长江中下游以及辽宁、京津和河北部分地区出现3～7天日最高气温≥35℃的高温天气，其中辽宁省周内最高气温区域平均值为1981年以来同期最高
WE 华北南部、黄淮、西北地区东南部、江淮西部、湖北东部和西部、华南南部和西部以及重庆、四川东部和南部、云南等地降水量有25～100毫米，其中河南南部、四川盆地、云南南部、广东南部、广西南部等地部分地区降水量有100～250毫米
WE 上述大部地区降水量较常年同期偏多3成至2倍（图2）
WE 西北地区东部大部、东北地区、华北大部降水量不足15毫米，较常年同期偏少5成以上
WE 东北地区大部、内蒙古中东部、华北北部、江南中南部、华南东部、贵州北部等地日照时数偏多3成至1倍
 南疆、甘肃西部、河北南部、河南西部、湖北西北部、广西南部、海南南部、重庆北部、云南西部和南部等地偏少3～8成（图3）
CROP 图1平均气温距平二、作物生长发育状况本周，东北地区大部一季稻处于拔节至孕穗抽穗期
CROP 长江中下游大部处于分蘖拔节期，部分进入孕穗抽穗期
CROP 西南地区大部处于孕穗至抽穗期，部分进入乳熟成熟阶段
CROP 全国一、二类苗比例分别为33%和66%
CROP 一类苗比例较上周减少2%，二类苗增加1%
CROP 各主产省中，黑龙江、河北和贵州一类苗比例高于上年和近五年同期，吉林、云南低于上年和近五年同期
CROP 东北地区、内蒙古、河北北部、山西大部、西北地区大部春玉米处于吐丝期
CROP 西南地区大部处于吐丝至乳熟成熟期
CROP 全国一、二类苗比例分别为31%、68%
 一类苗比例较上周减少4%，二类苗增加3%
 辽宁和内蒙古一类苗比例高于上年和近五年同期，吉林、山西、甘肃和宁夏低于上年和近五年同期
CROP 西北地区、华北、黄淮夏玉米处于拔节抽雄至开花吐丝期
CROP 西南地区大部处于吐丝期，部分进入乳熟期
CROP 夏玉米一、二类苗的比例分别为25%、74%
CROP 一类苗比例较上周减少2%，二类苗增加2%
CROP 黑龙江、内蒙古中部、新疆、青海等地仍有少部分春小麦处于开花至乳熟阶段，全国产区大部春小麦已成熟收获
CROP 黄河流域、长江中下游地区棉花大部处于开花至开花盛期，其中新疆大部处于开花盛期，局地进入吐絮阶段
CROP 东北地区大豆大部处于开花结荚期
CROP 华北、黄淮、西北地区东部处于第三真叶至分枝开花期，新疆处于结荚期
CROP 西北地区东部、华北北部、内蒙古、东北地区马铃薯处于开花期，局地已收获
CROP 华北、黄淮、江南大部花生处于下针期，华南处于成熟期
CROP 江南晚稻大部处于返青分蘖期
CROP 华南处于播种出苗至移栽返青期
CROP 全国一、二类苗的比例为14%、86%，一类苗与上周相比减少2%，二类苗增加2%
ENV 三、土壤墒情分析本周，全国主要农区20厘米土壤缺墒站点百分比较上周减少2%，较上年同期少4.7%（表1），缺墒地区主要位于辽宁中北部、吉林东部及中部局地、陕西中部、浙江西部、江西东部、重庆东南部和贵州北部等地的部分地区（图4）
ENV 土壤过湿站点百分比较上周增加1.8%，较上年同期多2.9%，过湿区主要位于黑龙江东北部、吉林西部、北京、天津、河北东北部、河南南部、湖南东南部、江西西南部、云南大部、广西西部和东南部、广东和海南等地的部分地区
ENV 墒情适宜站点百分比较上周增加0.2%，较上年同期多1.8%
WE 五、主要农业气象灾害监测与影响评估暴雨、洪涝：7月29日-8月1日，云南、四川盆地至江南部分地区出现中到大雨局部暴雨、大暴雨，并伴有强对流天气，导致云南、重庆、四川、贵州、湖南等省份遭受洪涝、泥石流、风雹等灾害，造成水稻、烤烟、玉米等农作物被淹受灾
 农业干旱：周内，据田间实地调查，辽宁开原、彰武、康平、锦州等地部分农田出现轻至中度农业干旱，对玉米等旱地作物产生不利影响（图5）
WE 黑龙江大部降水偏多5成至2倍，部分农田出现内涝
WE 辽宁中北部部分地区降水仍偏少，农业干旱持续
WE 预计未来一周，东北地区大部、华北中北部等地多降雨，11-13日将有中到大雨、局地暴雨或大暴雨，辽宁中北部旱情大部将得到有效缓解
WE 但局地强降水可能引发农田洪涝灾害
WE 一、主要天气特点本周，北方大部农区气温较常年同期偏高1～4℃，其中河北西北部、山西东北部、山东西部等地偏高4～6℃
WE 仅黑龙江中东部气温偏低1～2℃
